,oos_equity
2021-01-05,1035666.1741307272
2021-01-06,1037416.2940523983
2021-01-07,1036003.845207921
2021-01-08,1032916.2127814327
2021-01-11,1031689.2714188605
2021-01-12,1031689.2714188605
2021-01-13,1031689.2714188605
2021-01-14,1031689.2714188605
2021-01-15,1031689.2714188605
2021-01-19,1031689.2714188605
2021-01-20,1031689.2714188605
2021-01-21,1031689.2714188605
2021-01-22,1031689.2714188605
2021-01-25,1031689.2714188605
2021-01-26,1031689.2714188605
2021-01-27,1031689.2714188605
2021-01-28,1031689.2714188605
2021-01-29,1031689.2714188605
2021-02-01,1031689.2714188605
2021-02-02,1031689.2714188605
2021-02-03,1031689.2714188605
2021-02-04,1031689.2714188605
2021-02-05,1031689.2714188605
2021-02-08,1031689.2714188605
2021-02-09,1031689.2714188605
2021-02-10,1031689.2714188605
2021-02-11,1031689.2714188605
2021-02-12,1031689.2714188605
2021-02-16,1031689.2714188605
2021-02-17,1031689.2714188605
2021-02-18,1031689.2714188605
2021-02-19,1031689.2714188605
2021-02-22,1031689.2714188605
2021-02-23,1031689.2714188605
2021-02-24,1031689.2714188605
2021-02-25,1031689.2714188605
2021-02-26,1031689.2714188605
2021-03-01,1031689.2714188605
2021-03-02,1031689.2714188605
2021-03-03,1031689.2714188605
2021-03-04,1031689.2714188605
2021-03-05,1031689.2714188605
2021-03-08,1031689.2714188605
2021-03-09,1031689.2714188605
2021-03-10,1031689.2714188605
2021-03-11,1031689.2714188605
2021-03-12,1031689.2714188605
2021-03-15,1031689.2714188605
2021-03-16,1031689.2714188605
2021-03-17,1031689.2714188605
2021-03-18,1031689.2714188605
2021-03-19,1031689.2714188605
2021-03-22,1031689.2714188605
2021-03-23,1031689.2714188605
2021-03-24,1031689.2714188605
2021-03-25,1031689.2714188605
2021-03-26,1031689.2714188605
2021-03-29,1031689.2714188605
2021-03-30,1033963.1586449324
2021-03-31,1035477.4793041924
2021-04-01,1037153.1167862307
2021-04-05,1036878.2440955704
2021-04-06,1035055.7473749605
2021-04-07,1033471.6124622909
2021-04-08,1033471.6124622909
2021-04-09,1033471.6124622909
2021-04-12,1033471.6124622909
2021-04-13,1033408.7366274502
2021-04-14,1031646.2590297286
2021-04-15,1031646.2590297286
2021-04-16,1031646.2590297286
2021-04-19,1031646.2590297286
2021-04-20,1031646.2590297286
2021-04-21,1031646.2590297286
2021-04-22,1031646.2590297286
2021-04-23,1031646.2590297286
2021-04-26,1031912.011842634
2021-04-27,1032084.8892424257
2021-04-28,1032084.8892424257
2021-04-29,1032084.8892424257
2021-04-30,1032084.8892424257
2021-05-03,1032084.8892424257
2021-05-04,1032048.3129255709
2021-05-05,1032910.7975248153
2021-05-06,1032910.7975248153
2021-05-07,1032910.7975248153
2021-05-10,1032910.7975248153
2021-05-11,1032910.7975248153
2021-05-12,1032910.7975248153
2021-05-13,1032910.7975248153
2021-05-14,1032910.7975248153
2021-05-17,1032870.4746544679
2021-05-18,1032229.1041639223
2021-05-19,1030736.3779114456
2021-05-20,1030736.3779114456
2021-05-21,1030736.3779114456
2021-05-24,1030736.3779114456
2021-05-25,1030736.3779114456
2021-05-26,1030736.3779114456
2021-05-27,1030736.3779114456
2021-05-28,1030736.3779114456
2021-06-01,1030736.3779114456
2021-06-02,1032519.5390665085
2021-06-03,1033124.9229181043
2021-06-04,1033124.9229181043
2021-06-07,1033124.9229181043
2021-06-08,1033124.9229181043
2021-06-09,1033124.9229181043
2021-06-10,1033124.9229181043
2021-06-11,1033124.9229181043
2021-06-14,1033124.9229181043
2021-06-15,1033018.4569466508
2021-06-16,1032686.5882688434
2021-06-17,1035259.8493203449
2021-06-18,1035259.8493203449
2021-06-21,1035259.8493203449
2021-06-22,1035259.8493203449
2021-06-23,1035259.8493203449
2021-06-24,1035259.8493203449
2021-06-25,1035259.8493203449
2021-06-28,1035259.8493203449
2021-06-29,1035259.8493203449
2021-06-30,1035259.8493203449
2021-07-01,1035259.8493203449
2021-07-02,1035259.8493203449
2021-07-06,1035259.8493203449
2021-07-07,1035259.8493203449
2021-07-08,1035259.8493203449
2021-07-09,1035259.8493203449
2021-07-12,1035259.8493203449
2021-07-13,1035259.8493203449
2021-07-14,1035259.8493203449
2021-07-15,1035259.8493203449
2021-07-16,1035259.8493203449
2021-07-19,1035259.8493203449
2021-07-20,1035259.8493203449
2021-07-21,1035259.8493203449
2021-07-22,1035259.8493203449
2021-07-23,1035259.8493203449
2021-07-26,1035259.8493203449
2021-07-27,1035259.8493203449
2021-07-28,1035259.8493203449
2021-07-29,1035259.8493203449
2021-07-30,1035259.8493203449
2021-08-02,1035259.8493203449
2021-08-03,1035259.8493203449
2021-08-04,1035167.655481557
2021-08-05,1033065.4834224877
2021-08-06,1033065.4834224877
2021-08-09,1040087.5412657595
2021-08-10,1038853.8443293498
2021-08-11,1038853.8443293498
2021-08-12,1038853.8443293498
2021-08-13,1038853.8443293498
2021-08-16,1038853.8443293498
2021-08-17,1038853.8443293498
